anum,paper,family,table,lines,kinds
A124698,papers/A124/A124698.pdf,digit-window,,2,gf+recurrence
A124699,papers/A124/A124699.pdf,digit-window,,2,gf+recurrence
A124999,papers/A124/A124999.pdf,digit-window,,2,gf+recurrence
A125316,papers/A125/A125316.pdf,digit-window,,2,gf+recurrence
A125343,papers/A125/A125343.pdf,digit-window,,2,gf+recurrence
A125370,papers/A125/A125370.pdf,digit-window,,2,gf+recurrence
A125396,papers/A125/A125396.pdf,digit-window,,2,gf+recurrence
A125421,papers/A125/A125421.pdf,digit-window,,2,gf+recurrence
A125445,papers/A125/A125445.pdf,digit-window,,2,gf+recurrence
A125468,papers/A125/A125468.pdf,digit-window,,2,gf+recurrence
A126360,papers/A126/A126360.pdf,digit-window,,1,recurrence
A126362,papers/A126/A126362.pdf,digit-window,,1,recurrence
A126395,papers/A126/A126395.pdf,digit-window,,2,gf+recurrence
A126396,papers/A126/A126396.pdf,digit-window,,2,gf+recurrence
A126397,papers/A126/A126397.pdf,digit-window,,2,gf+recurrence
A126475,papers/A126/A126475.pdf,digit-window,,2,gf+recurrence
A126476,papers/A126/A126476.pdf,digit-window,,2,gf+recurrence
A126477,papers/A126/A126477.pdf,digit-window,,2,gf+recurrence
A126478,papers/A126/A126478.pdf,digit-window,,2,gf+recurrence
A126502,papers/A126/A126502.pdf,digit-window,,2,gf+recurrence
A126503,papers/A126/A126503.pdf,digit-window,,2,gf+recurrence
A126504,papers/A126/A126504.pdf,digit-window,,2,gf+recurrence
A126505,papers/A126/A126505.pdf,digit-window,,2,gf+recurrence
A126529,papers/A126/A126529.pdf,digit-window,,2,gf+recurrence
A126530,papers/A126/A126530.pdf,digit-window,,2,gf+recurrence
A126531,papers/A126/A126531.pdf,digit-window,,2,gf+recurrence
A183624,papers/A183/A183624.pdf,subblock-statistic,,2,gf+recurrence
A183625,papers/A183/A183625.pdf,subblock-statistic,,2,gf+recurrence
A183626,papers/A183/A183626.pdf,subblock-statistic,,2,gf+recurrence
A183627,papers/A183/A183627.pdf,subblock-statistic,,2,gf+recurrence
A183628,papers/A183/A183628.pdf,subblock-statistic,,1,recurrence
A183644,papers/A183/A183644.pdf,subblock-statistic,,2,gf+recurrence
A184209,papers/A184/A184209.pdf,subblock-statistic,,2,gf+recurrence
A184210,papers/A184/A184210.pdf,subblock-statistic,,1,recurrence
A184489,papers/A184/A184489.pdf,subblock-statistic,,2,gf+recurrence
A184490,papers/A184/A184490.pdf,subblock-statistic,,1,recurrence
A184491,papers/A184/A184491.pdf,subblock-statistic,,1,recurrence
A184540,papers/A184/A184540.pdf,lex-subblock,,2,gf+recurrence
A184541,papers/A184/A184541.pdf,lex-subblock,,3,gf+polynomial+recurrence
A184542,papers/A184/A184542.pdf,lex-subblock,,3,gf+polynomial+recurrence
A184543,papers/A184/A184543.pdf,lex-subblock,,3,gf+polynomial+recurrence
A184544,papers/A184/A184544.pdf,lex-subblock,,3,gf+polynomial+recurrence
A184556,papers/A184/A184556.pdf,subblock-statistic,,2,gf+recurrence
A184557,papers/A184/A184557.pdf,subblock-statistic,,1,recurrence
A184665,papers/A184/A184665.pdf,subblock-statistic,,2,gf+recurrence
A184666,papers/A184/A184666.pdf,subblock-statistic,,1,recurrence
A185405,papers/A185/A185405.pdf,cell-neighbour-count,,2,gf+recurrence
A185459,papers/A185/A185459.pdf,subblock-statistic,,2,gf+recurrence
A185460,papers/A185/A185460.pdf,subblock-statistic,,2,gf+recurrence
A185461,papers/A185/A185461.pdf,subblock-statistic,,2,gf+recurrence
A185462,papers/A185/A185462.pdf,subblock-statistic,,1,recurrence
A185463,papers/A185/A185463.pdf,subblock-statistic,,1,recurrence
A185464,papers/A185/A185464.pdf,subblock-statistic,,1,recurrence
A185465,papers/A185/A185465.pdf,subblock-statistic,,1,recurrence
A185535,papers/A185/A185535.pdf,cell-neighbour-count,,2,gf+recurrence
A185552,papers/A185/A185552.pdf,cell-neighbour-count,,2,gf+recurrence
A185553,papers/A185/A185553.pdf,cell-neighbour-count,,1,recurrence
A185572,papers/A185/A185572.pdf,subblock-statistic,,1,recurrence
A185761,papers/A185/A185761.pdf,subblock-statistic,,2,gf+recurrence
A185762,papers/A185/A185762.pdf,subblock-statistic,,2,gf+recurrence
A185763,papers/A185/A185763.pdf,subblock-statistic,,2,gf+recurrence
A185764,papers/A185/A185764.pdf,subblock-statistic,,2,gf+recurrence
A185765,papers/A185/A185765.pdf,subblock-statistic,,1,recurrence
A185766,papers/A185/A185766.pdf,subblock-statistic,,1,recurrence
A185767,papers/A185/A185767.pdf,subblock-statistic,,1,recurrence
A185771,papers/A185/A185771.pdf,subblock-statistic,,2,gf+recurrence
A185772,papers/A185/A185772.pdf,subblock-statistic,,1,recurrence
A185790,papers/A185/A185790.pdf,subblock-statistic,,2,gf+recurrence
A185791,papers/A185/A185791.pdf,subblock-statistic,,2,gf+recurrence
A185792,papers/A185/A185792.pdf,subblock-statistic,,1,recurrence
A185793,papers/A185/A185793.pdf,subblock-statistic,,1,recurrence
A185818,papers/A185/A185818.pdf,cell-neighbour-count,,2,gf+recurrence
A185899,papers/A185/A185899.pdf,cell-neighbour-count,,2,gf+recurrence
A185919,papers/A185/A185919.pdf,subblock-statistic,,1,recurrence
A185925,papers/A185/A185925.pdf,subblock-statistic,,2,gf+recurrence
A185926,papers/A185/A185926.pdf,subblock-statistic,,1,recurrence
A186133,papers/A186/A186133.pdf,subblock-statistic,,2,gf+recurrence
A186134,papers/A186/A186134.pdf,subblock-statistic,,1,recurrence
A186135,papers/A186/A186135.pdf,subblock-statistic,,1,recurrence
A186161,papers/A186/A186161.pdf,cell-neighbour-count,,2,gf+recurrence
A186162,papers/A186/A186162.pdf,cell-neighbour-count,,1,recurrence
A186454,papers/A186/A186454.pdf,commuting-subblocks,,2,gf+recurrence
A186455,papers/A186/A186455.pdf,commuting-subblocks,,2,gf+recurrence
A186456,papers/A186/A186456.pdf,commuting-subblocks,,2,gf+recurrence
A186457,papers/A186/A186457.pdf,commuting-subblocks,,2,gf+recurrence
A186458,papers/A186/A186458.pdf,commuting-subblocks,,2,gf+recurrence
A186459,papers/A186/A186459.pdf,commuting-subblocks,,2,gf+recurrence
A186460,papers/A186/A186460.pdf,commuting-subblocks,,2,gf+recurrence
A186464,papers/A186/A186464.pdf,commuting-subblocks,,2,gf+recurrence
A186465,papers/A186/A186465.pdf,commuting-subblocks,,2,gf+recurrence
A186466,papers/A186/A186466.pdf,commuting-subblocks,,2,gf+recurrence
A186467,papers/A186/A186467.pdf,commuting-subblocks,,2,gf+recurrence
A186474,papers/A186/A186474.pdf,commuting-subblocks,,2,gf+recurrence
A186475,papers/A186/A186475.pdf,commuting-subblocks,,2,gf+recurrence
A186476,papers/A186/A186476.pdf,commuting-subblocks,,1,recurrence
A186528,papers/A186/A186528.pdf,subblock-statistic,,1,recurrence
A186529,papers/A186/A186529.pdf,subblock-statistic,,1,recurrence
A186560,papers/A186/A186560.pdf,commuting-subblocks,,1,recurrence
A187597,papers/A187/A187597.pdf,subblock-statistic,,1,recurrence
A188501,papers/A188/A188501.pdf,directional-pattern,,2,gf+recurrence
A188502,papers/A188/A188502.pdf,directional-pattern,,1,recurrence
A188503,papers/A188/A188503.pdf,directional-pattern,,1,recurrence
A188516,papers/A188/A188516.pdf,directional-pattern,,1,recurrence
A188517,papers/A188/A188517.pdf,directional-pattern,,2,gf+recurrence
A188518,papers/A188/A188518.pdf,directional-pattern,,1,recurrence
A188519,papers/A188/A188519.pdf,directional-pattern,,1,recurrence
A188555,papers/A188/A188555.pdf,directional-pattern,,3,gf+polynomial+recurrence
A188556,papers/A188/A188556.pdf,directional-pattern,,3,gf+polynomial+recurrence
A188557,papers/A188/A188557.pdf,directional-pattern,,3,gf+polynomial+recurrence
A188558,papers/A188/A188558.pdf,directional-pattern,,3,gf+polynomial+recurrence
A188559,papers/A188/A188559.pdf,directional-pattern,,3,gf+polynomial+recurrence
A188561,papers/A188/A188561.pdf,directional-pattern,,1,recurrence
A188562,papers/A188/A188562.pdf,directional-pattern,,1,recurrence
A188563,papers/A188/A188563.pdf,directional-pattern,,1,recurrence
A188601,papers/A188/A188601.pdf,directional-pattern,,1,recurrence
A188602,papers/A188/A188602.pdf,directional-pattern,,1,recurrence
A188603,papers/A188/A188603.pdf,directional-pattern,,1,recurrence
A188608,papers/A188/A188608.pdf,directional-pattern,,1,recurrence
A188609,papers/A188/A188609.pdf,directional-pattern,,1,recurrence
A188689,papers/A188/A188689.pdf,directional-pattern,,1,recurrence
A188690,papers/A188/A188690.pdf,directional-pattern,,1,recurrence
A188691,papers/A188/A188691.pdf,directional-pattern,,1,recurrence
A188700,papers/A188/A188700.pdf,directional-pattern,,2,gf+recurrence
A188701,papers/A188/A188701.pdf,directional-pattern,,2,gf+recurrence
A188702,papers/A188/A188702.pdf,directional-pattern,,1,recurrence
A188703,papers/A188/A188703.pdf,directional-pattern,,1,recurrence
A188704,papers/A188/A188704.pdf,directional-pattern,,1,recurrence
A188705,papers/A188/A188705.pdf,directional-pattern,,1,recurrence
A188708,papers/A188/A188708.pdf,directional-pattern,,2,gf+recurrence
A188709,papers/A188/A188709.pdf,directional-pattern,,2,gf+recurrence
A188710,papers/A188/A188710.pdf,directional-pattern,,2,gf+recurrence
A188711,papers/A188/A188711.pdf,directional-pattern,,1,recurrence
A188712,papers/A188/A188712.pdf,directional-pattern,,1,recurrence
A188741,papers/A188/A188741.pdf,directional-pattern,,1,recurrence
A188742,papers/A188/A188742.pdf,directional-pattern,,1,recurrence
A188748,papers/A188/A188748.pdf,directional-pattern,,2,gf+recurrence
A188749,papers/A188/A188749.pdf,directional-pattern,,1,recurrence
A188750,papers/A188/A188750.pdf,directional-pattern,,1,recurrence
A188751,papers/A188/A188751.pdf,directional-pattern,,1,recurrence
A188757,papers/A188/A188757.pdf,directional-pattern,,1,recurrence
A188758,papers/A188/A188758.pdf,directional-pattern,,1,recurrence
A188759,papers/A188/A188759.pdf,directional-pattern,,1,recurrence
A188768,papers/A188/A188768.pdf,directional-pattern,,1,recurrence
A188769,papers/A188/A188769.pdf,directional-pattern,,1,recurrence
A188770,papers/A188/A188770.pdf,directional-pattern,,1,recurrence
A188819,papers/A188/A188819.pdf,directional-pattern,,2,gf+recurrence
A188820,papers/A188/A188820.pdf,directional-pattern,,2,gf+recurrence
A188821,papers/A188/A188821.pdf,directional-pattern,,3,gf+polynomial+recurrence
A188822,papers/A188/A188822.pdf,directional-pattern,,2,gf+recurrence
A188823,papers/A188/A188823.pdf,directional-pattern,,2,gf+polynomial
A188825,papers/A188/A188825.pdf,directional-pattern,,1,recurrence
A188826,papers/A188/A188826.pdf,directional-pattern,,2,gf+recurrence
A188827,papers/A188/A188827.pdf,directional-pattern,,2,gf+recurrence
A188828,papers/A188/A188828.pdf,directional-pattern,,2,gf+recurrence
